Source,Target,Type
0,1,Undirected
0,2,Undirected
0,33,Undirected
0,36,Undirected
0,6,Undirected
1,2,Undirected
1,3,Undirected
1,69,Undirected
1,77,Undirected
1,14,Undirected
1,19,Undirected
1,30,Undirected
2,32,Undirected
2,8,Undirected
2,10,Undirected
2,12,Undirected
2,46,Undirected
2,51,Undirected
2,20,Undirected
2,23,Undirected
2,24,Undirected
2,26,Undirected
2,92,Undirected
2,94,Undirected
2,31,Undirected
3,4,Undirected
3,7,Undirected
3,43,Undirected
3,46,Undirected
3,86,Undirected
3,55,Undirected
4,6,Undirected
4,8,Undirected
4,9,Undirected
4,10,Undirected
4,11,Undirected
4,13,Undirected
4,17,Undirected
4,18,Undirected
4,22,Undirected
4,23,Undirected
4,34,Undirected
4,56,Undirected
4,82,Undirected
4,84,Undirected
4,86,Undirected
4,92,Undirected
4,96,Undirected
4,98,Undirected
6,70,Undirected
8,73,Undirected
8,51,Undirected
9,71,Undirected
9,40,Undirected
9,72,Undirected
9,62,Undirected
10,70,Undirected
11,99,Undirected
11,13,Undirected
11,16,Undirected
11,51,Undirected
11,54,Undirected
11,25,Undirected
13,37,Undirected
13,41,Undirected
13,56,Undirected
13,95,Undirected
17,90,Undirected
18,88,Undirected
18,33,Undirected
23,90,Undirected
23,78,Undirected
24,50,Undirected
25,86,Undirected
33,43,Undirected
34,69,Undirected
34,38,Undirected
36,70,Undirected
37,81,Undirected
38,42,Undirected
50,68,Undirected
50,84,Undirected
50,86,Undirected
50,63,Undirected
51,86,Undirected
55,60,Undirected
68,90,Undirected
69,76,Undirected
69,97,Undirected
73,93,Undirected
77,91,Undirected
86,89,Undirected
86,88,Undirected
86,90,Undirected
86,95,Undirected
90,95,Undirected
96,98,Undirected
