id,Degree
0,5
1,8
2,15
3,7
4,19
5,0
6,3
7,1
8,4
9,5
10,3
11,7
12,1
13,6
14,1
15,0
16,1
17,2
18,3
19,1
20,1
21,0
22,1
23,4
24,2
25,2
26,1
27,0
28,0
29,0
30,1
31,1
32,1
33,3
34,3
35,0
36,2
37,2
38,2
39,0
40,1
41,1
42,1
43,2
44,0
45,0
46,2
47,0
48,0
49,0
50,5
51,4
52,0
53,0
54,1
55,2
56,2
57,0
58,0
59,0
60,1
61,0
62,1
63,1
64,0
65,0
66,0
67,0
68,2
69,4
70,3
71,1
72,1
73,2
74,0
75,0
76,1
77,2
78,1
79,0
80,0
81,1
82,1
83,0
84,2
85,0
86,9
87,0
88,2
89,1
90,5
91,1
92,2
93,1
94,1
95,3
96,2
97,1
98,2
99,1
