id,Degree
0,49
1,46
2,49
3,54
4,50
5,52
6,51
7,47
8,46
9,45
10,56
11,47
12,43
13,48
14,46
15,48
16,47
17,59
18,56
19,47
20,51
21,44
22,50
23,55
24,54
25,44
26,47
27,55
28,51
29,45
30,61
31,49
32,55
33,55
34,57
35,52
36,44
37,42
38,60
39,54
40,45
41,53
42,44
43,42
44,50
45,52
46,42
47,47
48,44
49,41
50,60
51,44
52,56
53,60
54,53
55,50
56,45
57,41
58,52
59,58
60,55
61,47
62,41
63,43
64,48
65,33
66,52
67,57
68,43
69,49
70,52
71,51
72,53
73,53
74,36
75,39
76,50
77,59
78,55
79,58
80,52
81,45
82,48
83,44
84,51
85,45
86,52
87,42
88,46
89,45
90,49
91,53
92,50
93,49
94,54
95,52
96,47
97,48
98,52
99,56
