Source,Target,Type
0,1,Undirected
0,2,Undirected
0,3,Undirected
0,97,Undirected
0,98,Undirected
0,99,Undirected
1,2,Undirected
1,3,Undirected
1,4,Undirected
1,98,Undirected
1,99,Undirected
2,3,Undirected
2,4,Undirected
2,5,Undirected
2,99,Undirected
3,4,Undirected
3,5,Undirected
3,6,Undirected
4,5,Undirected
4,6,Undirected
4,7,Undirected
5,6,Undirected
5,7,Undirected
5,8,Undirected
6,7,Undirected
6,8,Undirected
6,9,Undirected
7,8,Undirected
7,9,Undirected
7,10,Undirected
8,9,Undirected
8,10,Undirected
8,11,Undirected
9,10,Undirected
9,11,Undirected
9,12,Undirected
10,11,Undirected
10,12,Undirected
10,13,Undirected
11,12,Undirected
11,13,Undirected
11,14,Undirected
12,13,Undirected
12,14,Undirected
12,15,Undirected
13,14,Undirected
13,15,Undirected
13,16,Undirected
14,15,Undirected
14,16,Undirected
14,17,Undirected
15,16,Undirected
15,17,Undirected
15,18,Undirected
16,17,Undirected
16,18,Undirected
16,19,Undirected
17,18,Undirected
17,19,Undirected
17,20,Undirected
18,19,Undirected
18,20,Undirected
18,21,Undirected
19,20,Undirected
19,21,Undirected
19,22,Undirected
20,21,Undirected
20,22,Undirected
20,23,Undirected
21,22,Undirected
21,23,Undirected
21,24,Undirected
22,23,Undirected
22,24,Undirected
22,25,Undirected
23,24,Undirected
23,25,Undirected
23,26,Undirected
24,25,Undirected
24,26,Undirected
24,27,Undirected
25,26,Undirected
25,27,Undirected
25,28,Undirected
26,27,Undirected
26,28,Undirected
26,29,Undirected
27,28,Undirected
27,29,Undirected
27,30,Undirected
28,29,Undirected
28,30,Undirected
28,31,Undirected
29,32,Undirected
29,30,Undirected
29,31,Undirected
30,32,Undirected
30,33,Undirected
30,31,Undirected
31,32,Undirected
31,33,Undirected
31,34,Undirected
32,33,Undirected
32,34,Undirected
32,35,Undirected
33,34,Undirected
33,35,Undirected
33,36,Undirected
34,35,Undirected
34,36,Undirected
34,37,Undirected
35,36,Undirected
35,37,Undirected
35,38,Undirected
36,37,Undirected
36,38,Undirected
36,39,Undirected
37,38,Undirected
37,39,Undirected
37,40,Undirected
38,39,Undirected
38,40,Undirected
38,41,Undirected
39,40,Undirected
39,41,Undirected
39,42,Undirected
40,41,Undirected
40,42,Undirected
40,43,Undirected
41,42,Undirected
41,43,Undirected
41,44,Undirected
42,43,Undirected
42,44,Undirected
42,45,Undirected
43,44,Undirected
43,45,Undirected
43,46,Undirected
44,45,Undirected
44,46,Undirected
44,47,Undirected
45,46,Undirected
45,47,Undirected
45,48,Undirected
46,47,Undirected
46,48,Undirected
46,49,Undirected
47,48,Undirected
47,49,Undirected
47,50,Undirected
48,49,Undirected
48,50,Undirected
48,51,Undirected
49,50,Undirected
49,51,Undirected
49,52,Undirected
50,51,Undirected
50,52,Undirected
50,53,Undirected
51,52,Undirected
51,53,Undirected
51,54,Undirected
52,53,Undirected
52,54,Undirected
52,55,Undirected
53,54,Undirected
53,55,Undirected
53,56,Undirected
54,55,Undirected
54,56,Undirected
54,57,Undirected
55,56,Undirected
55,57,Undirected
55,58,Undirected
56,57,Undirected
56,58,Undirected
56,59,Undirected
57,58,Undirected
57,59,Undirected
57,60,Undirected
58,59,Undirected
58,60,Undirected
58,61,Undirected
59,60,Undirected
59,61,Undirected
59,62,Undirected
60,61,Undirected
60,62,Undirected
60,63,Undirected
61,64,Undirected
61,62,Undirected
61,63,Undirected
62,64,Undirected
62,65,Undirected
62,63,Undirected
63,64,Undirected
63,65,Undirected
63,66,Undirected
64,65,Undirected
64,66,Undirected
64,67,Undirected
65,66,Undirected
65,67,Undirected
65,68,Undirected
66,67,Undirected
66,68,Undirected
66,69,Undirected
67,68,Undirected
67,69,Undirected
67,70,Undirected
68,69,Undirected
68,70,Undirected
68,71,Undirected
69,70,Undirected
69,71,Undirected
69,72,Undirected
70,71,Undirected
70,72,Undirected
70,73,Undirected
71,72,Undirected
71,73,Undirected
71,74,Undirected
72,73,Undirected
72,74,Undirected
72,75,Undirected
73,74,Undirected
73,75,Undirected
73,76,Undirected
74,75,Undirected
74,76,Undirected
74,77,Undirected
75,76,Undirected
75,77,Undirected
75,78,Undirected
76,77,Undirected
76,78,Undirected
76,79,Undirected
77,78,Undirected
77,79,Undirected
77,80,Undirected
78,79,Undirected
78,80,Undirected
78,81,Undirected
79,80,Undirected
79,81,Undirected
79,82,Undirected
80,81,Undirected
80,82,Undirected
80,83,Undirected
81,82,Undirected
81,83,Undirected
81,84,Undirected
82,83,Undirected
82,84,Undirected
82,85,Undirected
83,84,Undirected
83,85,Undirected
83,86,Undirected
84,85,Undirected
84,86,Undirected
84,87,Undirected
85,86,Undirected
85,87,Undirected
85,88,Undirected
86,87,Undirected
86,88,Undirected
86,89,Undirected
87,88,Undirected
87,89,Undirected
87,90,Undirected
88,89,Undirected
88,90,Undirected
88,91,Undirected
89,90,Undirected
89,91,Undirected
89,92,Undirected
90,91,Undirected
90,92,Undirected
90,93,Undirected
91,92,Undirected
91,93,Undirected
91,94,Undirected
92,93,Undirected
92,94,Undirected
92,95,Undirected
93,96,Undirected
93,94,Undirected
93,95,Undirected
94,96,Undirected
94,97,Undirected
94,95,Undirected
95,96,Undirected
95,97,Undirected
95,98,Undirected
96,97,Undirected
96,98,Undirected
96,99,Undirected
97,98,Undirected
97,99,Undirected
98,99,Undirected
