Source,Target,Type
0,33,Undirected
0,39,Undirected
0,41,Undirected
0,42,Undirected
0,86,Undirected
0,23,Undirected
0,88,Undirected
1,98,Undirected
1,3,Undirected
1,4,Undirected
1,9,Undirected
1,51,Undirected
2,99,Undirected
2,35,Undirected
2,18,Undirected
2,3,Undirected
3,5,Undirected
3,71,Undirected
3,57,Undirected
3,95,Undirected
4,5,Undirected
4,43,Undirected
4,81,Undirected
4,23,Undirected
4,91,Undirected
4,62,Undirected
5,7,Undirected
5,8,Undirected
5,73,Undirected
5,57,Undirected
5,27,Undirected
6,7,Undirected
6,74,Undirected
6,15,Undirected
6,79,Undirected
6,52,Undirected
6,55,Undirected
7,65,Undirected
7,9,Undirected
7,23,Undirected
8,39,Undirected
8,9,Undirected
8,83,Undirected
8,56,Undirected
9,10,Undirected
9,11,Undirected
9,12,Undirected
10,11,Undirected
10,12,Undirected
10,13,Undirected
10,43,Undirected
10,57,Undirected
11,37,Undirected
11,12,Undirected
11,14,Undirected
11,78,Undirected
11,85,Undirected
12,73,Undirected
12,74,Undirected
12,15,Undirected
13,16,Undirected
13,43,Undirected
13,15,Undirected
14,73,Undirected
14,77,Undirected
14,15,Undirected
14,16,Undirected
14,17,Undirected
15,39,Undirected
15,16,Undirected
15,17,Undirected
15,18,Undirected
16,70,Undirected
16,76,Undirected
16,50,Undirected
16,54,Undirected
17,32,Undirected
17,41,Undirected
17,18,Undirected
17,19,Undirected
17,20,Undirected
17,28,Undirected
18,66,Undirected
18,80,Undirected
18,19,Undirected
18,87,Undirected
19,33,Undirected
19,20,Undirected
19,21,Undirected
19,22,Undirected
19,28,Undirected
20,72,Undirected
20,43,Undirected
20,78,Undirected
20,21,Undirected
21,22,Undirected
21,23,Undirected
21,24,Undirected
22,69,Undirected
22,72,Undirected
22,46,Undirected
22,55,Undirected
22,25,Undirected
23,65,Undirected
23,81,Undirected
23,54,Undirected
23,30,Undirected
24,73,Undirected
24,54,Undirected
24,25,Undirected
24,27,Undirected
25,41,Undirected
25,27,Undirected
25,28,Undirected
26,40,Undirected
26,41,Undirected
26,74,Undirected
26,27,Undirected
26,28,Undirected
27,29,Undirected
27,28,Undirected
27,61,Undirected
28,41,Undirected
29,32,Undirected
29,44,Undirected
29,46,Undirected
29,81,Undirected
29,30,Undirected
30,50,Undirected
30,31,Undirected
31,32,Undirected
31,33,Undirected
31,69,Undirected
31,47,Undirected
32,33,Undirected
32,66,Undirected
32,43,Undirected
32,63,Undirected
33,66,Undirected
33,70,Undirected
33,54,Undirected
33,91,Undirected
34,35,Undirected
34,36,Undirected
34,37,Undirected
34,63,Undirected
35,98,Undirected
35,56,Undirected
35,60,Undirected
36,91,Undirected
36,37,Undirected
36,39,Undirected
37,64,Undirected
37,38,Undirected
37,40,Undirected
37,42,Undirected
38,96,Undirected
38,70,Undirected
38,40,Undirected
38,41,Undirected
38,79,Undirected
38,55,Undirected
38,95,Undirected
39,40,Undirected
39,46,Undirected
40,64,Undirected
40,70,Undirected
40,42,Undirected
40,43,Undirected
40,76,Undirected
40,59,Undirected
41,67,Undirected
42,43,Undirected
42,45,Undirected
43,67,Undirected
43,44,Undirected
44,46,Undirected
44,47,Undirected
44,91,Undirected
45,68,Undirected
45,72,Undirected
45,46,Undirected
45,47,Undirected
45,48,Undirected
45,80,Undirected
45,85,Undirected
46,76,Undirected
46,79,Undirected
46,48,Undirected
47,48,Undirected
47,49,Undirected
47,94,Undirected
48,49,Undirected
48,50,Undirected
48,56,Undirected
48,58,Undirected
48,95,Undirected
49,99,Undirected
49,51,Undirected
49,52,Undirected
49,90,Undirected
50,80,Undirected
50,53,Undirected
50,55,Undirected
51,53,Undirected
51,54,Undirected
51,89,Undirected
51,91,Undirected
52,66,Undirected
52,67,Undirected
52,53,Undirected
52,54,Undirected
52,55,Undirected
53,99,Undirected
53,54,Undirected
53,55,Undirected
54,57,Undirected
55,76,Undirected
56,90,Undirected
57,58,Undirected
57,59,Undirected
58,61,Undirected
58,63,Undirected
59,60,Undirected
59,61,Undirected
60,61,Undirected
60,62,Undirected
60,63,Undirected
61,64,Undirected
61,63,Undirected
62,75,Undirected
62,76,Undirected
63,66,Undirected
63,92,Undirected
64,65,Undirected
64,75,Undirected
65,66,Undirected
65,75,Undirected
65,83,Undirected
65,89,Undirected
67,69,Undirected
67,70,Undirected
67,71,Undirected
67,82,Undirected
68,94,Undirected
68,70,Undirected
69,71,Undirected
70,74,Undirected
70,89,Undirected
71,98,Undirected
71,72,Undirected
72,74,Undirected
72,83,Undirected
73,97,Undirected
73,76,Undirected
74,75,Undirected
74,81,Undirected
74,88,Undirected
75,76,Undirected
75,78,Undirected
76,84,Undirected
77,80,Undirected
77,79,Undirected
78,79,Undirected
78,81,Undirected
79,82,Undirected
80,81,Undirected
81,84,Undirected
82,83,Undirected
82,84,Undirected
82,85,Undirected
83,84,Undirected
83,85,Undirected
84,85,Undirected
84,92,Undirected
85,97,Undirected
85,86,Undirected
86,87,Undirected
86,89,Undirected
86,93,Undirected
87,89,Undirected
87,90,Undirected
88,90,Undirected
89,92,Undirected
90,91,Undirected
90,93,Undirected
91,93,Undirected
91,94,Undirected
92,93,Undirected
92,95,Undirected
93,96,Undirected
93,95,Undirected
94,97,Undirected
94,95,Undirected
95,98,Undirected
96,97,Undirected
96,98,Undirected
96,99,Undirected
97,99,Undirected
98,99,Undirected
